1,Abilene Christian,UAC,fcs,#4e2683,#ebebeb,NULL,Wildcats,http://a.espncdn.com/i/teamlogos/ncaa/500/2000.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2000.png,@ACUFootball
2,Air Force,Mountain West,fbs,#004a7b,#ffffff,NULL,Falcons,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2005.png,@AF_Football
3,Akron,Mid-American,fbs,#00285e,#84754e,NULL,Zips,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png,@ZipsFB
4,Alabama,SEC,fbs,#690014,#f1f2f3,NULL,Crimson Tide,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png,@AlabamaFTBL
5,Alabama A&M,SWAC,fcs,#790000,#ffffff,NULL,Bulldogs,http://a.espncdn.com/i/teamlogos/ncaa/500/2010.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2010.png,@AAMUFB
6,Alabama State,SWAC,fcs,#e9a900,#0a0a0a,NULL,Hornets,http://a.espncdn.com/i/teamlogos/ncaa/500/2011.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2011.png,@BamaStateFB
7,Appalachian State,Sun Belt,fbs,#000000,#ffcd00,NULL,Mountaineers,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2026.png,@AppState_FB
8,Albany,CAA,fcs,#3D2777,#ffffff,NULL,Great Danes,http://a.espncdn.com/i/teamlogos/ncaa/500/399.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/399.png,@UAlbanyFootball
9,Alcorn State,SWAC,fcs,#4b0058,#46166a,NULL,Braves,http://a.espncdn.com/i/teamlogos/ncaa/500/2016.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2016.png,@BravesSports
10,Arizona,Pac-12,fbs,#002449,#00205b,NULL,Wildcats,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/12.png,@ArizonaFBall
11,Arizona State,Pac-12,fbs,#942139,#f1f2f3,NULL,Sun Devils,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png,@ASUFootball
12,Arkansas,SEC,fbs,#9c1831,#000000,NULL,Razorbacks,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png,@RazorbackFB
13,Arkansas-Pine Bluff,SWAC,fcs,#e0aa0f,#eaaa00,NULL,Golden Lions,http://a.espncdn.com/i/teamlogos/ncaa/500/2029.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2029.png,@UAPBLionsRoar
