1,Abbott Memorial Alumni Stadium,Tuskegee,AL,36083,US,NULL,NULL,NULL,122.8,10000,1925,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
2,Ace W. Mumford Stadium,Baton Rouge,LA,70807,US,America/Chicago,NULL,NULL,20.24213219,28500,1928,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
3,Adamson Stadium,Brownsville,PA,15417,US,NULL,NULL,NULL,NULL,6500,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
4,ACU Football Field,Glendale,AZ,NULL,US,NULL,NULL,NULL,NULL,0,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
5,Abel Stadium,Lincoln,NE,68508,US,NULL,NULL,NULL,NULL,2500,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
6,Aggie Memorial Stadium,Las Cruces,NM,88003,US,America/Denver,NULL,NULL,1208.201294,28853,1978,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
7,Aggie Stadium,Greensboro,NC,27411,US,America/New_York,NULL,NULL,235.1224518,21500,1981,1,0,2024-04-23 01:47:52,2024-04-23 01:47:52
8,Aggie Stadium,Davis,CA,95616,US,America/Los_Angeles,NULL,NULL,11.3825922,10743,2007,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
9,A.J. McClung Stadium,Columbus,GA,NULL,US,NULL,NULL,NULL,NULL,0,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
10,A.J. Simeon Stadium,High Point,NC,28806,US,NULL,NULL,NULL,NULL,15000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
11,Alamodome,San Antonio,TX,78299,US,America/Chicago,NULL,NULL,201.5526886,36582,1993,0,1,2024-04-23 01:47:52,2024-04-23 01:47:52
12,Albany State University Coliseum,Albany,GA,31701,US,NULL,NULL,NULL,NULL,10000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
13,Albert J. H. Sloan - Alumni Stadium,Fairfield,AL,35421,US,NULL,NULL,NULL,NULL,8500,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
14,Albertsons Stadium,Boise,ID,83725,US,America/Boise,NULL,NULL,823.2221069,36387,1970,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
15,Alerus Center,Grand Forks,ND,58201,US,America/Chicago,NULL,NULL,255.2472076,12283,2001,0,1,2024-04-23 01:47:52,2024-04-23 01:47:52
16,Alexander Durley Sports Complex,Houston,TX,77002,US,NULL,NULL,NULL,NULL,5500,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
17,Alex G. Spanos Stadium,San Luis Obispo,CA,93405,US,America/Los_Angeles,NULL,NULL,84.6832428,11075,2006,1,0,2024-04-23 01:47:52,2024-04-23 01:47:52
18,Alfond Stadium,Orono,ME,4469,US,America/New_York,NULL,NULL,35.4817543,10000,1998,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
19,Allegiant Stadium,Las Vegas,NV,89154,US,NULL,NULL,NULL,NULL,65000,NULL,0,1,2024-04-23 01:47:52,2024-04-23 01:47:52
20,Allgood-Bailey Stadium,Rolla,MO,65401,US,America/Chicago,NULL,NULL,336.1,8000,1967,1,0,2024-04-23 01:47:52,2024-04-23 01:47:52
21,Allianz Stadium,Sydney,NSW,2021,AU,Australia/Sydney,NULL,NULL,42.8,45500,1988,1,0,2024-04-23 01:47:52,2024-04-23 01:47:52
22,Aloha Stadium,Honolulu,HI,96818,US,Pacific/Honolulu,NULL,NULL,10.26500511,50000,1975,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
23,Altra Federal Credit Union Stadium,Winona,MN,55987,US,NULL,NULL,NULL,NULL,5000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
24,Alumni Field (MA),Leicester,MA,28748,US,NULL,NULL,NULL,NULL,1000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
25,Alumni Field (OH),Bluffton,OH,45817,US,NULL,NULL,NULL,NULL,2600,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
26,Alumni Field (Westfield, MA),Westfield,MA,4787,US,NULL,NULL,NULL,NULL,4000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
27,Alumni Memorial Field,Lexington,VA,24450,US,America/New_York,NULL,NULL,294.958252,10000,1962,1,0,2024-04-23 01:47:52,2024-04-23 01:47:52
28,Alumni Memorial Stadium (NC),Salisbury,NC,28144,US,NULL,NULL,NULL,NULL,6000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
29,Alumni Stadium,Chestnut Hill,MA,2467,US,America/New_York,NULL,NULL,39.82634354,44500,1957,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
30,Alumni Stadium,Dover,DE,19901,US,America/New_York,NULL,NULL,10.95275307,7193,1980,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
31,Alumni Stadium (IN),Hanover,IN,NULL,US,NULL,NULL,NULL,NULL,4000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
32,Alumni Stadium (KY),Frankfort,KY,40601,US,NULL,NULL,NULL,NULL,6000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
33,Alumni Stadium (PA),Greenville,PA,36037,US,NULL,NULL,NULL,NULL,1400,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
34,Alumni Stadium (VT),Middlebury,VT,5753,US,NULL,NULL,NULL,NULL,3500,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
35,Alumni Stadium (Worcester, MA),Worcester,MA,1613,US,NULL,NULL,NULL,NULL,2000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
36,Al Whitehead Field at Greyhound Stadium,Portales,NM,88130,US,NULL,NULL,NULL,NULL,4000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
37,Amon G. Carter Stadium,Fort Worth,TX,76129,US,America/Chicago,NULL,NULL,185.4387054,46000,1929,1,0,2024-04-23 01:47:52,2024-04-23 01:47:52
38,Amos Alonzo Stagg Field,Chicago,IL,60022,US,NULL,NULL,NULL,NULL,3500,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
39,Amos Alonzo Stagg Field (PA),Selinsgrove,PA,NULL,US,NULL,NULL,NULL,NULL,3500,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
40,Andre Reed Stadium,Kutztown,PA,17067,US,NULL,NULL,NULL,NULL,5600,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
41,Andy Kerr Stadium,Hamilton,NY,13346,US,America/New_York,NULL,NULL,337.1443787,10221,1966,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
42,Angell Field,Kalamazoo,MI,49007,US,NULL,NULL,NULL,NULL,2458,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
43,ANZ Stadium,Sydney,,2127,AU,Australia/Sydney,NULL,NULL,9.444999695,83500,1999,1,0,2024-04-23 01:47:52,2024-04-23 01:47:52
44,Apogee Stadium,Denton,TX,76210,US,America/Chicago,NULL,NULL,198.6871948,30850,2011,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
45,Apprentice Field,Newport News,VA,23607,US,NULL,NULL,NULL,NULL,800,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
46,April Zorn Memorial Stadium,Monmouth,IL,61462,US,NULL,NULL,NULL,NULL,2600,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
47,Arizona Stadium,Tucson,AZ,85721,US,America/Phoenix,NULL,NULL,742.1530151,50782,1928,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
48,Armfield Athletic Center,Greensboro,NC,27401,US,NULL,NULL,NULL,NULL,2200,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
49,Armstrong Stadium,Hampton,VA,23669,US,America/New_York,NULL,NULL,2.574624538,12000,1928,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
50,Arnold Field (PA),Annville,PA,17003,US,NULL,NULL,NULL,NULL,2000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
51,Arrowhead Stadium,Kansas City,MO,64129,US,America/Chicago,NULL,NULL,256.798584,76416,1972,1,0,2024-04-23 01:47:52,2024-04-23 01:47:52
52,Arthur J. Rooney Athletic Field,Pittsburgh,PA,15282,US,America/New_York,NULL,NULL,269.4302979,2200,1993,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
53,Art Keller Field,Kenosha,WI,53140,US,NULL,NULL,NULL,NULL,2448,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
54,Arute Field,New Britain,CT,6053,US,America/New_York,NULL,NULL,41.29866409,5500,1969,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
55,Athletic Field Complex,La Plume,PA,18440,US,NULL,NULL,NULL,NULL,1250,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
56,AT&T Stadium,Arlington,TX,76011,US,America/Chicago,NULL,NULL,172.5047302,100000,2009,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
57,Audi Field,Washington,DC,20549,US,NULL,NULL,NULL,NULL,20000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
58,Audrey J. Walton Stadium at Vernon Kennedy Field,Warrensburg,MO,64093,US,NULL,NULL,NULL,NULL,12000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
59,Austin E. Knowlton Athletics Complex,Oberlin,OH,44074,US,NULL,NULL,NULL,NULL,3000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
60,Autzen Stadium,Eugene,OR,97401,US,America/Los_Angeles,NULL,NULL,127.4198303,54000,1967,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
61,Aviva Stadium,Dublin,,NULL,IE,NULL,NULL,NULL,2.264276505,51700,2010,1,0,2024-04-23 01:47:52,2024-04-23 01:47:52
62,Bahlke Field,Alma,MI,48801,US,NULL,NULL,NULL,NULL,4000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
63,Bailey Memorial Stadium,Clinton,SC,29325,US,America/New_York,NULL,NULL,194.1601868,6500,2002,1,0,2024-04-23 01:47:52,2024-04-23 01:47:52
64,Baker Stadium,Tacoma,WA,98421,US,NULL,NULL,NULL,NULL,3500,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
65,Bank of America Stadium,Charlotte,NC,28202,US,America/New_York,NULL,NULL,220.8777466,73778,1996,1,0,2024-04-23 01:47:52,2024-04-23 01:47:52
66,Barker-Lane Stadium,Buies Creek,NC,27506,US,America/New_York,NULL,NULL,56.51401138,5500,2008,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
67,Barron Stadium,Rome,GA,30161,US,NULL,NULL,NULL,NULL,6500,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
68,Bazemore-Hyder Stadium,Valdosta,GA,31604,US,NULL,NULL,NULL,NULL,10100,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
69,BB&T Field,Winston-Salem,NC,27105,US,America/New_York,NULL,NULL,283.548584,31500,1968,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
70,BB&T Field at Griffin Plaza,Crestview Hills,KY,NULL,US,NULL,NULL,NULL,NULL,2500,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
71,BBVA Compass Stadium,Houston,TX,77003,US,America/Chicago,NULL,NULL,13.68128395,22000,2012,1,0,2024-04-23 01:47:52,2024-04-23 01:47:52
72,Bearcat Stadium,Maryville,MO,64468,US,NULL,NULL,NULL,NULL,6500,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
73,Beaver Stadium,University Park,PA,16802,US,America/New_York,NULL,NULL,354.1551514,106572,1960,1,0,2024-04-23 01:47:52,2024-04-23 01:47:52
74,Belhaven Bowl Stadium,Jackson,MS,39202,US,NULL,NULL,NULL,NULL,1200,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
75,Ben Altamirano Field,Silver City,NM,88062,US,NULL,NULL,NULL,NULL,3000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
76,Benedetti-Wehrli Stadium,Naperville,IL,60540,US,NULL,NULL,NULL,NULL,4839,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
77,Ben Hill Griffin Stadium,Gainesville,FL,32653,US,America/New_York,NULL,NULL,44.97250748,88548,1930,1,0,2024-04-23 01:47:52,2024-04-23 01:47:52
78,Benson Field at Yulman Stadium,New Orleans,LA,70118,US,America/Chicago,NULL,NULL,1.18e-38,30000,2014,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
79,Bentley University Football Stadium,Waltham,MA,5491,US,NULL,NULL,NULL,NULL,4800,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
80,Bernlohr Stadium,Bexley,OH,43209,US,NULL,NULL,NULL,NULL,3000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
81,Bethpage Federal Credit Union Stadium,Brookville,NY,11545,US,America/New_York,NULL,NULL,236,6000,1966,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
82,Biddle Field,Carlisle,PA,35956,US,NULL,NULL,NULL,NULL,2577,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
83,Big Cat Stadium,Morris,MN,56267,US,NULL,NULL,NULL,NULL,1400,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
84,Bill Buxton Stadium,Indianola,IA,50125,US,NULL,NULL,NULL,NULL,5000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
85,Bill Snyder Family Football Stadium,Manhattan,KS,66502,US,America/Chicago,NULL,NULL,328.0574646,50000,1968,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
86,Birkelbach Field,Georgetown,TX,78633,US,NULL,NULL,NULL,NULL,12442,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
87,Bishop Schmitt Field,Wheeling,WV,26003,US,NULL,NULL,NULL,NULL,2200,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
88,Bishop Stadium,Rocky Mount,NC,27804,US,NULL,NULL,NULL,NULL,5000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
89,Bison Stadium,Bethany,WV,NULL,US,NULL,NULL,NULL,NULL,1000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
90,Blackshear Stadium,Prairie View,TX,77445,US,America/Chicago,NULL,NULL,78.4,15000,2016,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
91,Blackstock Stadium,Greencastle,IN,46135,US,NULL,NULL,NULL,NULL,3000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
92,Blaik Field at Michie Stadium,West Point,NY,10996,US,America/New_York,NULL,NULL,99.21277618,38000,1924,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
93,Blaine High School,Blaine,WA,NULL,US,NULL,NULL,NULL,NULL,2000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
94,Blakeslee Stadium,Mankato,MN,56001,US,NULL,NULL,NULL,NULL,7000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
95,Blue Jay Stadium,Fulton,MO,65251,US,NULL,NULL,NULL,NULL,2000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
96,Blue Storm Stadium,Portland,ME,4102,US,NULL,NULL,NULL,NULL,1600,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
97,Blue Wahoos Stadium,Pensacola,FL,32502,US,NULL,NULL,NULL,NULL,5100,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
98,Bob Boozer Field,Brockport,NY,14420,US,NULL,NULL,NULL,NULL,10000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
99,Bobby Bowden Field at Doak Campbell Stadium,Tallahassee,FL,32306,US,America/New_York,NULL,NULL,19.55942535,79560,1950,1,0,2024-04-23 01:47:52,2024-04-23 01:47:52
100,Bobby Dodd Stadium at Historic Grant Field,Atlanta,GA,30332,US,America/New_York,NULL,NULL,279.300415,55000,1913,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
101,Bobcat Stadium,Bozeman,MT,59718,US,America/Denver,NULL,NULL,1507.508667,17000,1973,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
102,Bobcat Stadium (MD),Frostburg,MD,21532,US,NULL,NULL,NULL,NULL,4000,NULL,NULL,0,2024-04-23 01:47:52,2024-04-23 01:47:52
103,Bob Ford Field,Albany,NY,12222,US,America/New_York,NULL,NULL,64.42764282,8500,2013,0,0,2024-04-23 01:47:52,2024-04-23 01:47:52
